price,area,floor_number,bedroom_number,is_dinning_room,is_kitchen,is_terrace,is_car_pack,type,street_in_front_of_house,width,district
21.0,65.0,7.0,6.0,1,1,1,1,Nhà trong hẻm,7.0,5.5,Đống Đa
7.7,42.0,1.0,1.0,1,1,1,1,Nhà trong hẻm,2.0,3.2,Hai Bà Trưng
10.3,48.0,5.0,5.0,1,1,1,1,Nhà trong hẻm,4.0,5.2,Cầu Giấy
19.5,62.0,5.0,3.0,0,0,0,0,Nhà trong hẻm,6.0,5.0,Hoàng Mai
7.1,36.0,4.0,4.0,1,1,1,0,Nhà trong hẻm,3.0,4.0,Đống Đa
4.5,31.0,4.0,4.0,0,0,0,0,Nhà trong hẻm,2.5,3.5,Hà Đông
16.8,50.0,6.0,5.0,1,1,1,1,Nhà trong hẻm,5.0,4.5,Thanh Xuân
9.5,73.0,5.0,4.0,0,0,0,0,Nhà mặt phố,4.0,5.0,Long Biên
4.6,35.0,6.0,4.0,0,0,0,0,Nhà mặt phố,3.0,4.0,Long Biên
8.3,79.0,5.0,4.0,0,0,0,0,Nhà mặt phố,6.0,7.0,Đông Anh
9.8,54.0,4.0,4.0,0,0,0,0,Nhà trong hẻm,2.0,4.5,Hai Bà Trưng
18.5,60.0,4.0,4.0,1,1,1,1,Nhà mặt phố,10.0,4.0,Cầu Giấy
16.8,90.0,5.0,4.0,0,0,0,0,Nhà mặt phố,8.0,4.2,Cầu Giấy
2.25,50.0,5.0,4.0,1,1,1,1,Nhà mặt phố,4.0,5.180580675868634,Ngoại thành
6.7,54.0,5.0,4.0,0,0,0,0,Nhà mặt phố,4.0,5.180580675868634,Hoàng Mai
12.8,52.0,5.0,6.0,1,1,1,1,Nhà trong hẻm,7.0,3.5,Cầu Giấy
35.5,185.0,4.0,6.0,1,1,1,1,Nhà mặt phố,8.0,10.0,Cầu Giấy
17.6,140.0,1.0,4.0,0,0,0,1,Nhà mặt phố,7.0,15.0,Bắc Từ Liêm
31.0,90.0,5.0,5.0,0,0,0,0,Nhà trong hẻm,15.0,6.0,Ba Đình
13.5,61.0,1.0,2.0,1,1,1,1,Nhà mặt phố,3.0,6.2,Đống Đa
20.5,76.0,4.0,4.0,1,1,1,1,Nhà mặt phố,6.0,4.5,Nam Từ Liêm
20.0,55.0,7.0,7.0,1,1,1,1,Nhà trong hẻm,5.0,4.2,Ba Đình
40.0,70.0,6.0,5.0,1,1,1,1,Nhà mặt phố,15.0,4.8,Tây Hồ
34.0,135.0,2.0,2.0,1,1,0,1,Nhà mặt phố,7.0,8.2,Cầu Giấy
9.6,60.0,5.0,6.0,1,1,1,1,Nhà trong hẻm,10.0,5.0,Nam Từ Liêm
6.6,40.0,5.0,4.0,0,1,1,0,Nhà trong hẻm,3.0,5.180580675868634,Hoàng Mai
6.75,48.0,4.0,4.0,0,0,0,0,Nhà trong hẻm,2.5,4.0,Đống Đa
15.0,46.0,1.0,2.0,1,1,1,1,Nhà trong hẻm,6.0,5.180580675868634,Cầu Giấy
3.35,65.0,10.0,2.0,0,0,0,0,Căn hộ chung cư,7.0,5.180580675868634,Bắc Từ Liêm
50.0,100.0,8.0,5.0,0,0,0,0,Nhà mặt phố,10.0,5.180580675868634,Thanh Xuân
5.85,33.0,3.0,3.0,0,0,0,0,Nhà trong hẻm,2.0,5.180580675868634,Hoàng Mai
7.5,103.0,1.0,2.0,0,0,0,0,Nhà mặt phố,4.0,6.3,Đông Anh
7.8,43.0,5.0,3.0,1,1,1,0,Nhà trong hẻm,3.5,5.180580675868634,Hoàng Mai
6.95,40.0,6.0,4.0,1,1,1,1,Nhà trong hẻm,3.0,5.180580675868634,Hoàng Mai
7.0,39.0,5.0,4.0,0,0,0,0,Nhà trong hẻm,3.0,5.180580675868634,Hoàng Mai
14.7,44.0,5.0,3.0,0,0,0,0,Nhà trong hẻm,6.0,4.0,Hai Bà Trưng
